ID;BP-Nummer;Kompetenz;Thema;Anmerkungen
87;32122;Mithilfe des Stoffteilchens einem Stoff typische Eigenschaften (wie Schmelz- und Siedetemperaturen oder Löslichkeiten) zuordnen und die Zuordnung begründen;5;
88;32133;Die Strukturformel komplexer Teilchen darstellen, die aus Molekülionen aufgebaut sind.;5;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
